"Data file recorded 2014/2/3  17:54:20"
"%  Right Stride Frequency         = 5.0"
"%  Left Stride Frequency         = 5.0"
"%  Phase (Fractional)         = 16384.0"
"%  Experiment.py "
"%  Motor Gains    = [1800, 20, 100, 0, 0, 1800, 20, 100, 0, 0]
"% Columns: "
"% time | Right Leg Pos | Left Leg Pos | Commanded Right Leg Pos | Commanded Left Leg Pos | DCR | DCL | GyroX | GryoY | GryoZ | AX | AY | AZ | RBEMF | LBEMF | VBatt "
62997,2990912,3078144,2999253,3081173,3613,1120,1227,-3608,-436,209,1584,4062,44,34,834
63998,2991284,3078520,2999580,3081500,3369,998,1149,-3694,-418,222,1638,3966,44,34,834
64999,2991760,3078888,2999907,3081827,2654,1030,1056,-3718,-435,725,1457,4253,60,56,836
66000,2992208,3079224,3000234,3082154,2776,1226,983,-3712,-516,1229,1045,3863,60,56,836
67001,2992568,3079588,3000561,3082481,3311,1035,842,-3559,-564,1078,772,5135,50,49,848
68002,2992996,3079968,3000888,3082808,2842,912,516,-3480,-557,1043,2419,4399,50,49,848
69003,2993444,3080328,3001215,3083135,2663,1022,221,-3220,-528,2167,3162,5761,52,40,852
70004,2993856,3080648,3001542,3083462,2851,1275,85,-2789,-511,1794,1822,7055,52,40,852
71005,2994260,3080948,3001869,3083789,2868,1412,-43,-2642,-512,153,1354,4901,61,48,854
72005,2994708,3081224,3002196,3084116,2540,1584,-119,-2763,-496,-173,1967,5476,61,48,854
73007,2995160,3081516,3002523,3084443,2460,1500,-71,-2823,-498,-545,972,6166,60,30,851
74008,2995584,3081780,3002850,3084770,2593,1703,45,-2947,-434,-1685,-181,4900,60,30,851
75009,2995944,3082012,3003177,3085097,2978,1945,409,-3225,-359,-2240,-672,5997,48,36,851
76010,2996296,3082224,3003504,3085424,3017,2121,717,-3390,-365,-1919,-1307,5237,48,36,851
77011,2996680,3082420,3003831,3085751,2792,2278,940,-3607,-303,-1417,-1027,5424,44,38,850
78012,2997040,3082536,3004158,3086078,2929,2871,1061,-3374,-168,1085,-1154,6134,44,38,850
79013,2997444,3082712,3004485,3086405,2620,2562,1043,-2712,11,4195,-618,6319,41,22,843
80014,2997812,3082908,3004812,3086732,2827,2495,1000,-1726,42,6058,-325,6273,41,22,843
81015,2998236,3083156,3005139,3087059,2434,2205,883,-795,-106,6849,136,4530,63,27,837
82016,2998728,3083396,3005466,3087386,1937,2293,665,133,-332,7244,844,4535,63,27,837
83017,2999248,3083664,3005793,3087713,1677,2144,415,1117,-358,6593,1088,4571,54,30,842
84017,2999808,3083892,3006120,3088040,1324,2437,129,2097,-344,5518,1527,4480,54,30,842
85018,3000348,3084108,3006447,3088367,1357,2561,-150,2828,-389,4932,2654,3526,68,39,851
